start_ts,weather_conditions,duration_seconds
25/11/2017 16:00,Good,2410
25/11/2017 14:00,Good,1920
25/11/2017 12:00,Good,1543
4/11/2017 10:00,Good,2512
11/11/2017 7:00,Good,1440
11/11/2017 4:00,Good,1320
4/11/2017 16:00,Bad,2969
18/11/2017 11:00,Good,2280
11/11/2017 14:00,Good,2460
11/11/2017 12:00,Good,2040
18/11/2017 6:00,Good,1500
4/11/2017 11:00,Good,2040
11/11/2017 8:00,Good,1470
4/11/2017 8:00,Good,1546
11/11/2017 16:00,Good,2100
25/11/2017 13:00,Good,60
4/11/2017 12:00,Good,2640
25/11/2017 10:00,Good,1502
11/11/2017 12:00,Good,1915
4/11/2017 12:00,Good,2769
11/11/2017 13:00,Good,2250
11/11/2017 4:00,Good,1260
18/11/2017 14:00,Good,2826
4/11/2017 14:00,Good,3360
4/11/2017 14:00,Good,3180
25/11/2017 20:00,Good,2100
4/11/2017 10:00,Good,1800
11/11/2017 12:00,Good,2289
4/11/2017 8:00,Good,1494
11/11/2017 11:00,Good,1560
18/11/2017 12:00,Bad,1980
11/11/2017 13:00,Good,2115
11/11/2017 10:00,Good,1506
4/11/2017 12:00,Good,2580
4/11/2017 17:00,Bad,2460
11/11/2017 9:00,Good,1620
4/11/2017 6:00,Good,1163
4/11/2017 5:00,Good,1533
11/11/2017 4:00,Good,1477
11/11/2017 19:00,Good,1984
4/11/2017 13:00,Good,2940
4/11/2017 7:00,Good,1320
4/11/2017 6:00,Good,1440
11/11/2017 6:00,Good,1260
11/11/2017 8:00,Good,1560
4/11/2017 9:00,Good,1683
11/11/2017 5:00,Good,1343
18/11/2017 6:00,Good,1742
4/11/2017 9:00,Good,1560
11/11/2017 8:00,Good,1358
11/11/2017 12:00,Good,1980
4/11/2017 16:00,Bad,2760
18/11/2017 12:00,Bad,2460
25/11/2017 12:00,Good,1380
18/11/2017 10:00,Bad,1440
25/11/2017 14:00,Good,1620
11/11/2017 8:00,Good,1415
25/11/2017 5:00,Good,1325
11/11/2017 19:00,Good,1920
18/11/2017 6:00,Good,2100
11/11/2017 8:00,Good,1320
11/11/2017 10:00,Good,1260
11/11/2017 6:00,Good,1260
11/11/2017 8:00,Good,1200
25/11/2017 8:00,Good,1320
4/11/2017 18:00,Bad,2363
11/11/2017 18:00,Good,2280
25/11/2017 10:00,Good,1320
4/11/2017 6:00,Good,1140
11/11/2017 18:00,Good,2520
18/11/2017 16:00,Bad,3000
11/11/2017 8:00,Good,1140
4/11/2017 14:00,Good,3084
11/11/2017 8:00,Good,1380
11/11/2017 8:00,Good,1380
4/11/2017 9:00,Good,1380
4/11/2017 9:00,Good,1380
11/11/2017 12:00,Good,2213
4/11/2017 16:00,Bad,3120
11/11/2017 15:00,Good,4800
